aw,sucrose,glucose,fructose
0.965191780,0.101000000,0.051000000,0.051000000
0.932018464,0.208000000,0.011000000,0.011000000
0.915913474,0.308000000,0.015000000,0.015000000
0.900120424,0.414000000,0.021000000,0.021000000
0.869443583,0.516000000,0.026000000,0.026000000
0.811549529,0.564000000,0.029000000,0.029000000
0.784236140,0.615000000,0.031000000,0.031000000
0.757951368,0.662000000,0.033000000,0.033000000
0.662271240,0.746000000,0.037000000,0.037000000
0.525741629,0.766000000,0.039000000,0.039000000
0.996184936,0.055000000,0.000000000,0.000000000
0.989202147,0.106000000,0.000000000,0.000000000
0.985731378,0.215000000,0.000000000,0.000000000
0.958452412,0.320000000,0.000000000,0.000000000
0.938549329,0.445000000,0.000000000,0.000000000
0.900120424,0.596000000,0.000000000,0.000000000
0.869443583,0.650000000,0.000000000,0.000000000
0.752814048,0.760000000,0.000000000,0.000000000
0.708298476,0.785000000,0.000000000,0.000000000
0.599397747,0.820000000,0.000000000,0.000000000
0.543152662,0.865000000,0.000000000,0.000000000
0.965191780,0.218000000,0.011000000,0.000000000
0.932018464,0.315000000,0.016000000,0.000000000
0.900120424,0.426000000,0.021000000,0.000000000
0.869443583,0.525000000,0.026000000,0.000000000
0.839936356,0.577000000,0.029000000,0.000000000
0.825605879,0.606000000,0.030000000,0.000000000
0.784236140,0.669000000,0.033000000,0.000000000
0.745181267,0.753000000,0.038000000,0.000000000
0.784236140,0.773000000,0.039000000,0.000000000
0.965191780,0.105000000,0.000000000,0.006000000
0.932018464,0.213000000,0.000000000,0.011000000
0.900120424,0.325000000,0.000000000,0.016000000
0.884632635,0.424000000,0.000000000,0.021000000
0.869443583,0.529000000,0.000000000,0.027000000
0.825605879,0.574000000,0.000000000,0.029000000
0.770967897,0.670000000,0.000000000,0.033000000
0.732652430,0.704000000,0.000000000,0.035000000
0.619578113,0.773000000,0.000000000,0.039000000
0.965191780,0.000000000,0.024000000,0.024000000
0.948442231,0.000000000,0.033000000,0.033000000
0.900120424,0.000000000,0.055000000,0.055000000
0.884632635,0.000000000,0.109000000,0.109000000
0.869443583,0.000000000,0.159000000,0.159000000
0.839936356,0.000000000,0.219000000,0.219000000
0.811549529,0.000000000,0.272000000,0.272000000
0.757951368,0.000000000,0.322000000,0.327000000
0.599397747,0.000000000,0.387000000,0.387000000
0.508954998,0.000000000,0.419000000,0.419000000
0.992686646,0.000000000,0.045000000,0.000000000
0.985731378,0.000000000,0.055000000,0.000000000
0.978830794,0.000000000,0.105000000,0.000000000
0.975400860,0.000000000,0.120000000,0.000000000
0.955102559,0.000000000,0.210000000,0.000000000
0.951765851,0.000000000,0.250000000,0.000000000
0.945131642,0.000000000,0.335000000,0.000000000
0.938549329,0.000000000,0.410000000,0.000000000
0.900120424,0.000000000,0.450000000,0.000000000
0.869443583,0.000000000,0.555000000,0.000000000
0.811549529,0.000000000,0.640000000,0.000000000
0.765731379,0.000000000,0.815000000,0.000000000
0.640525113,0.000000000,0.875000000,0.000000000
0.996184936,0.000000000,0.000000000,0.045000000
0.989202147,0.000000000,0.000000000,0.060000000
0.985731378,0.000000000,0.000000000,0.095000000
0.978830794,0.000000000,0.000000000,0.115000000
0.961815466,0.000000000,0.000000000,0.205000000
0.958452412,0.000000000,0.000000000,0.255000000
0.955102559,0.000000000,0.000000000,0.340000000
0.915913474,0.000000000,0.000000000,0.460000000
0.842835867,0.000000000,0.000000000,0.585000000
0.747715823,0.000000000,0.000000000,0.680000000
0.477156688,0.000000000,0.000000000,0.820000000
0.370461995,0.000000000,0.000000000,0.870000000
