aw,glucose
0.998995279,0.001002417
0.997965532,0.002024357
0.996960402,0.003026303
0.995974044,0.004011943
0.994758345,0.005220308
0.993634018,0.006335039
0.992660379,0.007298174
0.991421208,0.008528689
0.990338304,0.009602449
0.989743860,0.010178171
0.988855859,0.011061643
0.987769375,0.012128169
0.986825841,0.013062564
0.985735554,0.014142290
0.983734220,0.016102874
0.981763185,0.018031357
0.980138131,0.019592259
0.978260985,0.021419127
0.976339540,0.023271855
0.971905550,0.027484810
0.966956290,0.032093823
0.957019566,0.041218452
0.946631069,0.050383884
0.934041038,0.061319463
0.911249083,0.080305516
