aw,sorbitol
0.999500491,0.000500560
0.998994982,0.001004215
0.998005946,0.001995649
0.996980195,0.003010187
0.995871803,0.004119154
0.994799037,0.005182870
0.993675819,0.006306579
0.992598311,0.007374505
0.991432626,0.008539315
0.990275117,0.009697861
0.989081012,0.010885428
0.987922014,0.012038500
0.986136447,0.013818270
0.984319186,0.015626552
0.982233834,0.017689030
0.980259069,0.019632084
0.977219163,0.022613185
0.969512617,0.030105009
0.958437762,0.040484269
0.947419997,0.050557675
0.934976441,0.061616197
