aw,sucrose
0.999467207,0.000532953
0.998953704,0.001045564
0.998361440,0.001625888
0.997798526,0.002173253
0.997197641,0.002755850
0.996362696,0.003568556
0.995339271,0.004545984
0.994185325,0.005655102
0.992731863,0.007044244
0.991181593,0.008519835
0.989682556,0.009929245
0.989202574,0.010379340
0.987982860,0.011538872
0.986477008,0.012918656
0.984143131,0.015067638
0.981811869,0.017191622
0.979547375,0.019214630
0.977692644,0.020911676
0.975908853,0.022447948
0.960242355,0.034704386
0.944935378,0.046046187
0.928240418,0.057903866
0.916498748,0.066066814
