aw,sucrose,glucose,fructose
0.965191780,0.101000000,0.051000000,0.051000000
0.932018464,0.208000000,0.011000000,0.011000000
0.915913474,0.308000000,0.015000000,0.015000000
0.900120424,0.414000000,0.021000000,0.021000000
0.869443583,0.516000000,0.026000000,0.026000000
0.811549529,0.564000000,0.029000000,0.029000000
0.784236140,0.615000000,0.031000000,0.031000000
0.757951368,0.662000000,0.033000000,0.033000000
0.662271240,0.746000000,0.037000000,0.037000000
0.525741629,0.766000000,0.039000000,0.039000000
