aw,sucrose,mannitol
0.992616928,0.011061746,0.002849372
0.992616928,0.008164766,0.005917990
0.992616928,0.005574310,0.008666019
0.992616928,0.002760940,0.011645662
0.990945078,0.013391592,0.003448410
0.990945078,0.009905250,0.007183697
0.990945078,0.006776649,0.010538503
0.990945078,0.003362749,0.014183719
0.985960963,0.020681274,0.004439730
0.985960963,0.016576904,0.008961675
0.985960963,0.012488178,0.013479581
0.985960963,0.008796347,0.017554107
0.983459408,0.021703130,0.007592860
0.982266221,0.020672123,0.010801917
0.982266221,0.018330685,0.013417036
0.980374789,0.028116910,0.005522063
0.980374789,0.022756135,0.011573776
0.980374789,0.017640719,0.017404304
0.980130927,0.027790152,0.006254089
0.980130927,0.025688977,0.008647654
0.980130927,0.019569366,0.015606478
0.968405177,0.043335986,0.006630212
0.968405177,0.039025291,0.011678515
0.968405177,0.033669855,0.017929236
0.958017251,0.058982973,0.002974159
0.958017251,0.056983897,0.005445376
0.958017251,0.054989971,0.007828697
0.958017251,0.052225256,0.011064687
0.931461427,0.086645750,0.004370523
0.931461427,0.083732163,0.007999503
0.931461427,0.080973579,0.011527250
