aw,alanine
0.996000000,0.003572134
0.995000000,0.005357559
0.992000000,0.007154355
0.992000000,0.007154355
0.991000000,0.008891587
0.989000000,0.010675649
0.989000000,0.010693281
0.988000000,0.012400591
0.986000000,0.014172054
0.986000000,0.014207068
0.984000000,0.015884835
0.983000000,0.017661216
0.983000000,0.017730747
0.980000000,0.019431196
0.981000000,0.019465838
0.979000000,0.021125767
0.978000000,0.021212068
0.976000000,0.022848895
0.977000000,0.022952089
0.975000000,0.024497399
0.973000000,0.026294094
0.973000000,0.026311173
0.971000000,0.027999089
0.969000000,0.029630277
0.968000000,0.031289810
