aw,glycine
0.996000000,0.004483501
0.996000000,0.004483501
0.991000000,0.008909282
0.990000000,0.008926977
0.987000000,0.013330963
0.986000000,0.013348501
0.983000000,0.017695983
0.983000000,0.017713366
0.980000000,0.021936393
0.979000000,0.022022551
0.976000000,0.026311173
0.975000000,0.026328252
0.972000000,0.030511553
0.972000000,0.030630064
0.968000000,0.034759777
0.967000000,0.034776561
0.964000000,0.038904375
0.963000000,0.038921015
0.961000000,0.043096018
0.960000000,0.043145502
0.957000000,0.047120419
0.955000000,0.047888580
0.952000000,0.051273287
0.953000000,0.051289501
0.951000000,0.053118177
