aw,serine
0.995000000,0.004483501
0.996000000,0.004483501
0.992000000,0.008909282
0.991000000,0.008926977
0.987000000,0.013348501
0.988000000,0.013366037
0.983000000,0.017678600
0.980000000,0.021970858
0.980000000,0.021970858
0.976000000,0.026294094
0.974000000,0.030477688
0.974000000,0.030511553
0.970000000,0.034810127
0.966000000,0.038837809
0.966000000,0.038937655
0.963000000,0.043096018
0.959000000,0.047120419
0.960000000,0.047218551
0.957000000,0.051224640
0.953000000,0.055309735
0.953000000,0.055374039
0.950000000,0.059232268
0.947000000,0.063106550
0.947000000,0.063264652
0.943000000,0.067137215
