T,glucose,fructose
101.0,0.024,0.024
101.5,0.033,0.033
103.0,0.055,0.055
103.5,0.109,0.109
104.0,0.159,0.159
105.0,0.219,0.219
106.0,0.272,0.272
108.0,0.322,0.327
115.0,0.387,0.387
120.0,0.419,0.419
100.2,0.045,0.0
100.4,0.055,0.0
100.6,0.105,0.0
100.7,0.120,0.0
101.3,0.210,0.0
101.4,0.250,0.0
101.6,0.335,0.0
101.8,0.410,0.0
103.0,0.450,0.0
104.0,0.555,0.0
106.0,0.640,0.0
107.7,0.815,0.0
113.0,0.875,0.0
100.1,0.0,0.045
100.3,0.0,0.060
100.4,0.0,0.095
100.6,0.0,0.115
101.1,0.0,0.205
101.2,0.0,0.255
101.3,0.0,0.340
102.5,0.0,0.460
104.9,0.0,0.585
108.4,0.0,0.680
122.0,0.0,0.820
130.0,0.0,0.870
