T,sucrose,fructose
101.0,0.105,0.006
102.0,0.213,0.011
103.0,0.325,0.016
103.5,0.424,0.021
104.0,0.529,0.027
105.5,0.574,0.029
107.5,0.670,0.033
109.0,0.704,0.035
114.0,0.773,0.039
100.1,0.0,0.045
100.3,0.0,0.060
100.4,0.0,0.095
100.6,0.0,0.115
101.1,0.0,0.205
101.2,0.0,0.255
101.3,0.0,0.340
102.5,0.0,0.460
104.9,0.0,0.585
108.4,0.0,0.680
122.0,0.0,0.820
130.0,0.0,0.870
100.1,0.055,0.0
100.3,0.106,0.0
100.4,0.215,0.0
101.2,0.320,0.0
101.8,0.445,0.0
103.0,0.596,0.0
104.0,0.650,0.0
108.2,0.760,0.0
110.0,0.785,0.0
115.0,0.820,0.0
118.0,0.865,0.0
