T,sucrose,fructose
101.0,0.218,0.011
102.0,0.315,0.016
103.0,0.426,0.021
104.0,0.525,0.026
105.0,0.577,0.029
105.5,0.606,0.030
107.0,0.669,0.033
108.5,0.753,0.038
107.0,0.773,0.039
100.1,0.055,0.0
100.3,0.106,0.0
100.4,0.215,0.0
101.2,0.320,0.0
101.8,0.445,0.0
103.0,0.596,0.0
104.0,0.650,0.0
108.2,0.760,0.0
110.0,0.785,0.0
115.0,0.820,0.0
118.0,0.865,0.0
100.2,0.0,0.045
100.4,0.0,0.055
100.6,0.0,0.105
100.7,0.0,0.120
101.3,0.0,0.210
101.4,0.0,0.250
101.6,0.0,0.335
101.8,0.0,0.410
103.0,0.0,0.450
104.0,0.0,0.555
106.0,0.0,0.640
107.7,0.0,0.815
113.0,0.0,0.875
