m_NaCl,m_sucrose,m_mannitol
0.4475,0.6227,0.1604
0.4475,0.4597,0.3332
0.4475,0.3139,0.4880
0.4475,0.1555,0.6559
0.5490,0.7561,0.1947
0.5490,0.5594,0.4057
0.5490,0.3828,0.5953
0.5490,0.1900,0.8014
0.8495,1.1776,0.2528
0.8495,0.9443,0.5105
0.8495,0.7117,0.7682
0.8495,0.5015,1.0008
0.9987,1.2411,0.4342
1.0694,1.1848,0.6191
1.0694,1.0509,0.7692
1.1808,1.6151,0.3172
1.1808,1.3081,0.6653
1.1808,1.0148,1.0012
1.1951,1.5970,0.3594
1.1951,1.4767,0.4971
1.1951,1.1259,0.8979
1.8637,2.5321,0.3874
1.8637,2.2820,0.6829
1.8637,1.9707,1.0494
2.4226,3.4904,0.1760
2.4226,3.3738,0.3224
2.4226,3.2571,0.4637
2.4226,3.0949,0.6557
3.7186,5.2913,0.2669
3.7186,5.1174,0.4889
3.7186,4.9530,0.7051
